particle_id,run_id,seed,iteration,particle_index,log_weight,family_id,subtype_id,reasoning
9d6ab14b-333f-426c-8dee-219430d57263,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,0,0,-262.0372619628906,base_only,base_only,"The code contains only the standard HH channels (Na+, K+ delayed-rectifier, leak). All EDITABLE SECTIONs are empty — no additional state variables, no additional kinetics, no additional current terms in tau_V_inv or V_inf. gbar_X1, gbar_X2, param_i, param_j are extracted but never used. This is a pure base HH model."
ff882dfa-7800-441d-9885-81b191cfbd55,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,1,-437.0808715820313,I_M,I_M_voltage_dep_tau,"Single additional channel: M-type K+ current with gate w. Steady-state w_inf is a Boltzmann sigmoid. The time constant tau_w_fn uses a bell-shaped voltage-dependent denominator: 3.3*(exp((x-V_half_w)/40) + exp(-(x-V_half_w)/20)), which is the Wang 1998 cosh-like form. This is clearly voltage_dependent tau -> I_M_voltage_dep_tau."
c00e36a5-c43a-4574-b702-718ac06500ac,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,3,-306.8944091796875,I_M,I_M_fixed_tau,"Single additional channel: M-type K+ current with gate w. Steady-state w_inf is a Boltzmann sigmoid. The time constant tau_w_val = -params[:,9]/10.0 is precomputed as a fixed scalar (voltage-independent), clamped to [1.0, 1000.0] ms before the simulation loop. This matches tau_type=fixed_scalar -> I_M_fixed_tau."
749a9002-eb47-492e-8813-fdd35d3089b0,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,4,-289.7896728515625,I_M,I_M_voltage_dep_tau,"Single additional channel: M-type K+ current with gate w. Steady-state w_inf is a Boltzmann sigmoid. The time constant tau_w uses a voltage-dependent bell-shaped denominator: 3.3*(exp((x-V_half_M)/40) + exp(-(x-V_half_M)/20)) + 1e-6, computed inside the loop at each voltage. This is the Wang 1998 form -> voltage_dependent tau -> I_M_voltage_dep_tau."
f45c8c02-3ae1-4b97-befa-4385f4926561,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,5,-289.71514892578125,I_M,I_M_fixed_tau,"Single additional channel: M-type K+ current with gate w. Steady-state w_inf is a Boltzmann sigmoid. The time constant tau_w_fn() returns torch.clamp(tau_M_base, min=1.0, max=200.0) where tau_M_base = params[:,9]/30.0 — a fixed scalar precomputed before the loop, voltage-independent. This matches tau_type=fixed_scalar -> I_M_fixed_tau."
a2fe1355-9101-44f1-a430-014cb15bfe56,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,6,-270.2880859375,I_M,I_M_fixed_tau,"Single M-current gate w with Boltzmann steady-state w_inf. The time constant tau_M is taken directly from params[:,9] (a learned scalar), clamped to [1, 3000] ms, and used as a voltage-independent fixed scalar. No bell-shaped or voltage-dependent tau function is present. This matches tau_type=fixed_scalar -> I_M_fixed_tau."
64aa6d14-37fb-422a-a6b0-66bc1b7916ca,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,7,-291.5726013183594,I_M,I_M_fixed_tau,"Single M-current gate w with Boltzmann steady-state w_inf. The time constant tau_w_M is taken directly from params[:,9] (negated to recover a positive scalar) and used as a constant voltage-independent time constant in the exponential Euler update. No voltage-dependent tau function is defined. This matches tau_type=fixed_scalar -> I_M_fixed_tau."
c88902d7-aa49-416b-ace8-6bc27d054c9c,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,8,-277.1291809082031,I_M,I_M_fixed_tau,"Single M-current gate w with Boltzmann steady-state w_inf. The time constant tau_w is taken directly from params[:,9] as a positive raw value and used as a constant scalar in the exponential Euler update (w[:, i] = w_inf_v + (w[:, i-1] - w_inf_v) * Exp(-tstep / tau_w)). No voltage-dependent tau function is defined. This matches tau_type=fixed_scalar -> I_M_fixed_tau."
7ffd2a56-f081-414d-a4e3-53b61c35663c,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,9,-273.8853454589844,I_M,I_M_voltage_dep_tau,"Single M-current gate w with Boltzmann steady-state w_inf. The time constant is computed by tau_w_fn(x) = 1.0 / (3.3*(Exp((x-V_half)/40) + Exp(-(x-V_half)/20)) + 1e-7), which is a bell-shaped voltage-dependent function of V (asymmetric exponential sum in denominator). This matches tau_type=voltage_dependent -> I_M_voltage_dep_tau."
8f6483ab-8354-481a-9659-d9a0d00f34c6,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,10,-265.8624572753906,I_M,I_M_voltage_dep_tau,"Single M-current gate w with Boltzmann steady-state w_inf. The time constant is computed by tau_w_fn(x) = 1.0 / (3.3*(Exp((x-V_half)/40) + Exp(-(x-V_half)/20)) + 1e-6), a bell-shaped voltage-dependent function (asymmetric exponential sum denominator, Wang 1998 style). This matches tau_type=voltage_dependent -> I_M_voltage_dep_tau."
ac34b280-4b5a-4ef4-99c1-c4e05c8fe0a0,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,11,-287.72979736328125,I_M,I_M_fixed_tau,"Single M-current gate w with Boltzmann w_inf. The time constant tau_M_scale = params[:,9]/10.0 + 1.0 is a fixed scalar derived from a parameter, with no voltage dependence in the tau computation. The update is w[:, i] = w_inf_v + (w_prev - w_inf_v) * Exp(-tstep / tau_M_scale), confirming fixed scalar tau -> I_M_fixed_tau."
83a66acc-2e8e-44a5-a245-ec8d32199d27,357f9623-981c-4653-b08b-ba8f0d8d5e25,0,1,12,-282.75958251953125,I_M,I_M_voltage_dep_tau,"Single M-current gate w with Boltzmann w_inf. The time constant tau_w_fn uses a bell-shaped formula: tau_max_M / (3.3 * (Exp(dv/40) + Exp(-dv/20)) + 1e-6), which is voltage-dependent (bell-shaped). This matches the Wang 1998 formulation -> I_M_voltage_dep_tau."
